iter	Passed	Remaining
418	2554	9640
419	2562	9641
420	2571	9643
421	2577	9636
422	2584	9636
423	2590	9629
424	2597	9624
425	2602	9615
426	2609	9612
427	2615	9605
428	2621	9601
429	2627	9592
430	2632	9581
431	2637	9574
432	2642	9564
433	2648	9558
434	2655	9552
435	2661	9548
436	2668	9544
437	2674	9539
438	2681	9533
439	2687	9528
440	2693	9521
441	2698	9512
442	2704	9506
443	2711	9501
444	2717	9496
445	2723	9488
446	2729	9482
447	2735	9475
448	2742	9472
449	2748	9466
450	2755	9464
451	2761	9458
452	2767	9452
453	2774	9447
454	2780	9441
455	2786	9435
456	2793	9431
457	2801	9430
458	2806	9423
459	2813	9420
460	2819	9412
461	2826	9409
462	2832	9401
463	2837	9393
464	2844	9388
465	2850	9383
466	2856	9376
467	2862	9369
468	2869	9366
469	2875	9360
470	2882	9355
471	2888	9350
472	2894	9343
473	2900	9337
474	2906	9332
475	2912	9325
476	2918	9319
477	2925	9314
478	2932	9310
479	2938	9304
480	2944	9298
481	2951	9293
482	2956	9286
483	2964	9284
484	2970	9277
485	2976	9271
486	2982	9265
487	2988	9260
488	2995	9256
489	3002	9253
490	3008	9247
491	3014	9239
492	3021	9235
493	3025	9224
494	3031	9216
495	3037	9211
496	3044	9207
497	3050	9201
498	3057	9197
499	3063	9191
500	3071	9189
501	3077	9183
502	3083	9177
503	3089	9171
504	3095	9165
505	3102	9160
506	3109	9155
507	3115	9150
508	3121	9144
509	3128	9138
510	3134	9133
511	3140	9127
512	3147	9123
513	3154	9120
514	3162	9119
515	3169	9115
516	3175	9107
517	3181	9101
518	3187	9096
519	3192	9087
520	3198	9080
521	3204	9074
522	3210	9067
523	3218	9064
524	3224	9058
525	3230	9051
526	3236	9046
527	3242	9040
528	3249	9036
529	3255	9030
530	3262	9026
531	3269	9021
532	3275	9016
533	3282	9011
534	3288	9004
535	3294	8999
536	3300	8991
537	3306	8986
538	3313	8982
539	3320	8976
540	3326	8971
541	3333	8967
542	3339	8961
543	3345	8954
544	3351	8948
545	3358	8944
546	3364	8937
547	3370	8931
548	3377	8926
549	3383	8920
550	3390	8916
551	3397	8911
552	3403	8906
553	3409	8900
554	3415	8893
555	3422	8888
556	3428	8881
557	3434	8874
558	3440	8869
559	3447	8864
560	3453	8859
561	3460	8854
562	3466	8848
563	3472	8840
564	3478	8835
565	3485	8829
566	3491	8823
567	3497	8818
568	3504	8813
569	3510	8806
570	3517	8801
571	3523	8797
572	3531	8795
573	3537	8789
574	3545	8785
575	3551	8779
576	3556	8771
577	3563	8765
578	3569	8759
579	3577	8758
580	3583	8752
581	3590	8747
582	3596	8742
583	3603	8737
584	3609	8730
585	3615	8723
586	3621	8718
587	3628	8712
588	3634	8706
589	3641	8703
590	3648	8697
591	3655	8693
592	3662	8689
593	3669	8685
594	3675	8679
595	3683	8676
596	3689	8671
597	3695	8665
598	3702	8658
599	3707	8651
600	3714	8646
601	3720	8640
602	3727	8635
603	3733	8628
604	3739	8622
605	3746	8618
606	3752	8611
607	3758	8605
608	3765	8600
609	3772	8596
610	3777	8587
611	3782	8577
612	3788	8572
613	3793	8564
614	3800	8558
615	3806	8552
616	3813	8547
617	3819	8540
618	3825	8534
619	3832	8530
620	3839	8525
621	3845	8519
622	3851	8512
623	3856	8504
624	3862	8497
625	3868	8490
626	3874	8483
627	3880	8477
628	3886	8470
629	3892	8465
630	3899	8460
631	3905	8453
632	3911	8447
633	3917	8440
634	3924	8435
635	3930	8429
636	3935	8421
637	3942	8416
638	3949	8412
639	3956	8407
640	3962	8401
641	3969	8395
642	3975	8389
643	3982	8385
644	3989	8380
645	3995	8374
646	4001	8368
647	4007	8360
648	4013	8354
649	4018	8346
650	4024	8340
651	4031	8334
652	4038	8330
653	4044	8324
654	4051	8319
655	4057	8312
656	4063	8305
657	4069	8300
658	4076	8294
659	4082	8288
660	4089	8284
661	4096	8280
662	4103	8275
663	4110	8270
664	4117	8265
665	4123	8259
666	4129	8252
667	4135	8246
668	4141	8239
669	4148	8234
670	4156	8231
671	4162	8226
672	4170	8223
673	4176	8217
674	4182	8210
675	4189	8205
676	4196	8201
677	4203	8195
678	4209	8189
679	4215	8183
680	4223	8179
681	4230	8175
682	4237	8170
683	4244	8165
684	4251	8161
685	4258	8157
686	4265	8152
687	4271	8146
688	4278	8140
689	4283	8133
690	4290	8126
691	4296	8121
692	4303	8116
693	4310	8111
694	4316	8105
695	4323	8100
696	4330	8094
697	4336	8089
698	4342	8082
699	4349	8076
700	4356	8072
701	4363	8067
702	4369	8062
703	4376	8056
704	4383	8051
705	4390	8046
706	4396	8040
707	4402	8034
708	4410	8030
709	4417	8026
710	4424	8020
711	4430	8014
712	4437	8009
713	4444	8004
714	4450	7998
715	4456	7992
716	4463	7987
717	4470	7981
718	4476	7975
719	4482	7969
720	4488	7963
721	4494	7955
722	4500	7949
723	4506	7941
724	4512	7935
725	4519	7930
726	4526	7926
727	4533	7921
728	4540	7916
729	4547	7910
730	4555	7907
731	4560	7900
732	4567	7894
733	4573	7888
734	4579	7882
735	4585	7875
736	4592	7869
737	4599	7864
738	4606	7859
739	4612	7854
740	4619	7848
741	4625	7841
742	4632	7837
743	4639	7832
744	4645	7826
745	4652	7820
746	4659	7815
747	4666	7809
748	4671	7802
749	4677	7795
750	4683	7789
751	4689	7782
752	4695	7776
753	4701	7769
754	4708	7764
755	4715	7759
756	4723	7755
757	4729	7748
758	4735	7743
759	4741	7736
760	4747	7730
761	4754	7723
762	4759	7717
763	4766	7711
764	4772	7704
765	4778	7698
766	4785	7692
767	4791	7686
768	4797	7679
769	4802	7672
770	4809	7666
771	4816	7661
772	4823	7656
773	4829	7649
774	4835	7643
775	4843	7639
776	4850	7635
777	4857	7629
778	4863	7623
779	4870	7618
780	4877	7612
781	4883	7606
782	4890	7601
783	4896	7595
784	4903	7588
785	4909	7582
786	4915	7576
787	4922	7570
788	4927	7563
789	4933	7556
790	4939	7549
791	4945	7543
792	4952	7538
793	4958	7531
794	4964	7524
795	4970	7517
796	4976	7511
797	4981	7503
798	4987	7496
799	4993	7490
800	4999	7484
801	5006	7478
802	5012	7472
803	5019	7467
804	5025	7459
805	5030	7452
806	5037	7446
807	5043	7440
808	5049	7434
809	5055	7427
810	5061	7421
811	5068	7415
812	5074	7408
813	5079	7401
814	5085	7394
815	5092	7388
816	5098	7382
817	5104	7376
818	5111	7371
819	5118	7365
820	5124	7358
821	5130	7352
822	5136	7345
823	5143	7341
824	5150	7335
825	5156	7328
826	5162	7321
827	5168	7316
828	5175	7310
829	5181	7303
830	5188	7298
831	5193	7290
832	5198	7282
833	5204	7276
834	5210	7269
835	5217	7263
836	5223	7258
837	5230	7252
838	5236	7245
839	5242	7239
840	5248	7232
841	5254	7225
842	5260	7220
843	5266	7212
844	5272	7206
845	5278	7199
846	5283	7192
847	5289	7185
848	5295	7179
849	5302	7173
850	5308	7167
851	5314	7160
852	5319	7152
853	5325	7146
854	5331	7139
855	5337	7133
856	5343	7127
857	5350	7121
858	5357	7116
859	5364	7110
860	5370	7104
861	5376	7097
862	5382	7090
863	5387	7083
864	5393	7076
865	5399	7070
866	5406	7064
867	5411	7057
868	5417	7050
869	5423	7044
870	5430	7038
871	5436	7032
872	5444	7028
873	5452	7024
874	5459	7019
875	5465	7013
876	5472	7007
877	5478	7001
878	5484	6994
879	5490	6988
880	5496	6981
881	5503	6975
882	5509	6969
883	5515	6963
884	5521	6956
885	5527	6949
886	5534	6944
887	5540	6938
888	5547	6932
889	5552	6925
890	5560	6920
891	5566	6914
892	5573	6908
893	5581	6904
894	5587	6898
895	5593	6891
896	5599	6885
897	5607	6880
898	5613	6874
899	5619	6867
900	5625	6861
901	5631	6854
902	5636	6847
903	5643	6842
904	5649	6836
905	5656	6830
906	5663	6825
907	5669	6817
908	5674	6811
909	5681	6805
910	5687	6798
911	5694	6793
912	5701	6787
913	5708	6782
914	5714	6776
915	5720	6769
916	5726	6763
