iter	Logloss
0	0.6802254298
1	0.6647218688
2	0.651982054
3	0.6387777472
4	0.6280116537
5	0.6173457594
6	0.6072041773
7	0.5971485824
8	0.5877764278
9	0.5817499444
10	0.5735002577
11	0.5660198961
12	0.5598394781
13	0.5544839534
14	0.5504499453
15	0.5439867592
16	0.540366703
17	0.5366692547
18	0.5311245335
19	0.525801939
20	0.5217242677
21	0.5172683532
22	0.5127658941
23	0.5095858201
24	0.5062849661
25	0.5030465884
26	0.5001419737
27	0.4974318476
28	0.4951058197
29	0.492183205
30	0.4895953863
31	0.4878749786
32	0.485083885
33	0.4826039124
34	0.4805230249
35	0.4782598628
36	0.475739129
37	0.4738175265
38	0.4726128927
39	0.4704853139
40	0.4688574465
41	0.4670629719
42	0.4651855484
43	0.4637051884
44	0.4615048362
45	0.4599134623
46	0.4587779274
47	0.4573116016
48	0.4561139421
49	0.4549523877
50	0.453853126
51	0.4524740458
52	0.4512656225
53	0.4506250837
54	0.4491922239
55	0.4482655302
56	0.4475135844
57	0.4464740151
58	0.4456833108
59	0.4444948626
60	0.4434753385
61	0.4425887953
62	0.4419470102
63	0.440890911
64	0.439875184
65	0.4391747013
66	0.4380817737
67	0.4374654032
68	0.4370471499
69	0.4364418976
70	0.4353140672
71	0.4346796826
72	0.434100932
73	0.4337930507
74	0.4332110891
75	0.4324019452
76	0.4318687875
77	0.43109053
78	0.4306285196
79	0.4298320363
80	0.4290353918
81	0.4286885707
82	0.4279947739
83	0.4274296849
84	0.426762908
85	0.4262431306
86	0.4259372164
87	0.4255696941
88	0.4249693199
89	0.4244517293
90	0.4242190596
91	0.4235575327
92	0.4230103142
93	0.4225729558
94	0.4219588126
95	0.4214941876
96	0.4210010961
97	0.4209462213
98	0.420645306
99	0.4201328921
100	0.4196792398
101	0.419114698
102	0.4187662215
103	0.4184774698
104	0.4180151262
105	0.417733068
106	0.41729656
107	0.4169861536
108	0.4164688961
109	0.4160641688
110	0.4157593017
111	0.4154592527
112	0.4150066363
113	0.4146460577
114	0.4144440955
115	0.4141885093
116	0.4138677741
117	0.4134819236
118	0.4130045239
119	0.412564406
120	0.4123107162
121	0.411874941
122	0.4114729602
123	0.4112271361
124	0.4109582515
125	0.4106773348
126	0.410456513
127	0.4102138833
128	0.4099398428
129	0.4096090978
130	0.4092072347
131	0.4088758458
132	0.4086226809
133	0.408385008
134	0.408092444
135	0.4078712264
136	0.407716854
137	0.407409471
138	0.4071883492
139	0.4068305235
140	0.4066777836
141	0.4063440159
142	0.4061389298
143	0.4060456845
144	0.4057930582
145	0.4056319299
146	0.4054662008
147	0.4052214732
148	0.4049921424
149	0.4046601385
150	0.4044450838
151	0.404224955
152	0.4040945812
153	0.4039678493
154	0.4037611623
155	0.4035826131
156	0.4032902754
157	0.4031488543
158	0.4028048518
159	0.4026430532
160	0.4024610544
161	0.4020565107
162	0.4017963696
163	0.4016380529
164	0.4013634665
165	0.4011266572
166	0.4009984629
167	0.4006730385
168	0.4003922483
169	0.4001509816
170	0.3998279442
171	0.3996302893
172	0.3995088879
173	0.3991997948
174	0.3991668884
175	0.3990012511
176	0.3988680073
177	0.39862238
178	0.3984735257
179	0.3981198068
180	0.397894989
181	0.3977214519
182	0.3976927564
183	0.3975326585
184	0.3972982262
185	0.3971400216
186	0.3969537386
187	0.3967825749
188	0.3966194881
189	0.3964683601
190	0.3962879505
191	0.3962579996
192	0.396149476
193	0.396020057
194	0.3956058028
195	0.3955480562
196	0.3953262595
197	0.3951912085
198	0.395057009
199	0.3949906947
200	0.3948650012
201	0.394748604
202	0.3946631636
203	0.3944801979
204	0.3943437188
205	0.3941722078
206	0.3939846262
207	0.3938398924
208	0.3936954654
209	0.3936298239
210	0.3933074123
211	0.3932029989
212	0.3930290767
213	0.392781755
214	0.3926537594
215	0.3925752725
216	0.3923842248
217	0.3921774287
218	0.3920223448
219	0.3918302706
220	0.3917619948
221	0.3915501847
222	0.3914459927
223	0.391388474
224	0.3913075806
